collectionOrder,teseraId,teseraAlias,teseraTitle,teseraAlternateTitles,teseraYear,teseraIsAddition,bggId,bggName,bggType,matchMethod,ownedParentBggIds,disposition,notes
1,2067936,twilight-inscription,Сумерки империи: Летопись галактики,Twilight Inscription,2022,false,361545,Twilight Inscription,base,tesera-detail-bgg-id,,matched,
2,2147030,mysticvale,Mystic Vale: Essential Edition,,2020,false,308762,Mystic Vale: Essential Edition,base,tesera-detail-bgg-id,,matched,
3,2063275,little-town-artisans,Little Town: Artisans,,2022,true,359133,Little Town: Artisans,expansion,tesera-detail-bgg-id,,excluded-orphan-expansion,No officially linked owned base game in the BGG collection. No officially linked owned base game in the BGG collection.
4,2188601,dopolnenie-dlya-igry-gorodishko,Городишко: Хорошие здания,Little Town: Goodie Buildings,,true,286796,Little Town: Goodie Buildings,expansion,tesera-detail-bgg-id,,excluded-orphan-expansion,No officially linked owned base game in the BGG collection. No officially linked owned base game in the BGG collection.
5,2199329,1919-novoe-nachalo,1919 Новое начало,,2023,false,,,,unresolved,,needs-review,
6,2365595,the-white-castle-matcha,Белый Замок: Матча,The White Castle: Matcha,2024,true,420321,The White Castle: Matcha,expansion,tesera-detail-bgg-id,,excluded-orphan-expansion,No officially linked owned base game in the BGG collection. No officially linked owned base game in the BGG collection.
7,2450844,the-shire-promo-tile-2024,The Shire Promo Tile (2024),промо-регион для игры The Lord of the Rings: Duel for Middle-Earth,,true,,,,unresolved,,needs-review,
8,2450838,the-lord-of-the-rings-duel-for-middle-earth-grond-promo-tile,The Lord of the Rings: Duel for Middle-Earth Grond Promo Tile (2024),промо провинция для игры The Lord of the Rings: Duel for Middle-earth,2024,true,,,,unresolved,,needs-review,
9,2368349,the-lord-of-the-rings-duel-for-middle-earth,The Lord of the Rings: Duel for Middle-Earth,Lord of the Rings: Duel for Middle-Earth,2024,false,421006,The Lord of the Rings: Duel for Middle-earth,base,tesera-detail-bgg-id,,matched,
10,2300789,splendor-pokmon,Splendor: Pokémon,Splendor: Pokemon,2023,false,,,,unresolved,,needs-review,
11,603088,cash-n-guns-more-cash-n-n-more-guns,Ca$h 'N Gun$: More Cash 'n more Guns,,2015,true,181228,Ca$h 'n Guns: Second Edition – More Ca$h 'n More Guns,expansion,tesera-detail-bgg-id,155362,matched,
12,2231013,its-a-wonderful-world-leisure-decadence,Этот безумный мир: Праздность и упадок,It's a Wonderful World: Leisure & Decadence,2020,true,,,,unresolved,,needs-review,
13,2231014,its-a-wonderful-world-war-or-peace,Этот безумный мир: Война или мир,It's a Wonderful World: War or Peace,2020,true,,,,unresolved,,needs-review,
14,51404,sequence,Sequence,,1982,false,2375,Sequence,base,tesera-detail-bgg-id,,matched,
15,633529,tiny-epic-western,Tiny Epic Western,,2016,false,180852,Tiny Epic Western,base,tesera-detail-bgg-id,,matched,
16,1672582,TinyEpicPirates,Tiny Epic Pirates,,2020,false,309430,Tiny Epic Pirates,base,tesera-detail-bgg-id,,matched,
17,1343869,hero-realms-character-pack-thief,Hero Realms: Character Pack – Thief,,2016,false,202106,Hero Realms: Character Pack – Thief,expansion,tesera-detail-bgg-id,198994,matched,
18,2045309,terraforming-mars-ares-expedition-crisis,Покорение Марса. Экспедиция «Арес». Кризис,Terraforming Mars: Ares Expedition - Crisis,2022,true,358738,Terraforming Mars: Ares Expedition – Crisis,expansion,tesera-detail-bgg-id,328871,matched,
19,1071707,castles-burgundy-dice-game,The Castles of Burgundy: The Dice Game,,2017,false,232988,The Castles of Burgundy: The Dice Game,base,tesera-detail-bgg-id,,matched,
